database,run_id,nodes_loaded,rels_loaded,total_records,node_load_time_sec,rel_load_time_sec,total_load_time_sec,nodes_per_sec,rels_per_sec,total_records_per_sec,batch_size,success,error_message,timestamp
kuzu,run_1_1787597717,34546,421534,456080,0.1719,0.3192,0.9257,200964.39,1320676.75,492660.11,5000,True,,2026-08-24T18:55:18.098534+00:00
kuzu,run_1_1787640937,34546,421534,456080,0.1567,0.2783,0.8701,220439.08,1514807.08,524182.95,5000,True,,2026-08-25T06:55:38.644790+00:00
kuzu,run_1_1787641495,34546,421534,456080,0.1809,0.2374,0.8544,190937.41,1775595.47,533788.5,5000,True,,2026-08-25T07:04:56.640758+00:00
cognodb,run_1_1787647751,34546,421534,456080,16.9975,137.5231,154.5206,2032.42,3065.19,2951.58,5000,True,,2026-08-25T08:51:46.902004+00:00
neo4j,run_1_1787651016,34546,405000,439546,5.8429,67.0257,72.8686,5912.46,6042.46,6032.03,5000,True,"AuraDB Free tier limit reached at 405,000 relationships.",2026-08-25T09:44:55.988871+00:00
memgraph,run_1_1787655808,34546,421534,456080,3.2051,25.396,28.601,10778.58,16598.45,15946.27,5000,True,,2026-08-25T11:03:58.027013+00:00
memgraph,run_1_1787655906,34546,421534,456080,3.3036,25.3667,28.6703,10457.22,16617.59,15907.75,5000,True,,2026-08-25T11:05:36.943664+00:00
falkordb,run_1_1787664110,34546,421534,456080,0.8126,59.5568,60.3694,42512.36,7077.85,7554.82,5000,True,,2026-08-25T13:22:51.268406+00:00
falkordb,run_1_1787667535,34546,421534,456080,0.8207,59.827,60.6478,42091.54,7045.88,7520.15,5000,True,,2026-08-25T14:19:56.328715+00:00
neo4j,run_1_1787680217,34546,405000,439546,2.5625,43.0193,45.5818,13481.57,9414.38,9643.02,5000,True,"AuraDB Free tier limit reached at 405,000 relationships.",2026-08-25T17:51:09.168754+00:00
memgraph,run_1_1787680603,34546,421534,456080,3.8844,26.9267,30.8111,8893.45,15654.88,14802.45,5000,True,,2026-08-25T17:57:15.926677+00:00
falkordb,run_1_1787681303,34546,421534,456080,0.7442,58.1499,58.8941,46418.35,7249.09,7744.06,5000,True,,2026-08-25T18:09:22.359958+00:00
kuzu,run_1_1787681724,34546,421534,456080,0.1583,0.2779,0.8728,218265.81,1517054.24,522537.7,5000,True,,2026-08-25T18:15:24.963890+00:00
cognodb,run_1_1787682369,34546,421534,456080,4.7508,46.6878,51.4386,7271.66,9028.78,8866.49,5000,True,,2026-08-25T18:27:04.111366+00:00
neo4j,run_1_1787684681,34546,405000,439546,2.3855,41.5681,43.9536,14481.59,9743.04,10000.22,5000,True,"AuraDB Free tier limit reached at 405,000 relationships.",2026-08-25T19:05:32.994120+00:00
memgraph,run_1_1787685046,34546,421534,456080,3.3995,24.4581,27.8575,10162.19,17234.98,16371.88,5000,True,,2026-08-25T19:11:15.530880+00:00
falkordb,run_1_1787685569,34546,421534,456080,0.7029,56.0316,56.7345,49144.86,7523.15,8038.85,5000,True,,2026-08-25T19:20:26.298990+00:00
kuzu,run_1_1787685962,34546,421534,456080,0.123,0.2172,0.7334,280951.1,1940785.72,621834.2,5000,True,,2026-08-25T19:26:02.992530+00:00
