database,run_id,concurrency,duration_seconds,total_operations,successful_operations,failed_operations,throughput_ops_sec,read_operations,write_operations,read_throughput_ops_sec,write_throughput_ops_sec,p50_ms,p95_ms,p99_ms,error_rate,error_breakdown,timestamp
kuzu,run_3_1787597737,10,30.01,13927,11166,2761,464.15,11166,2761,372.13,92.02,15.6541,60.4587,89.5622,0.1982,{'RuntimeError': 2761},2026-08-24T18:56:20.473873+00:00
kuzu,run_3_1787597737,20,30.01,13922,11053,2869,463.97,11053,2869,368.35,95.61,30.3019,127.8464,195.4165,0.2061,{'RuntimeError': 2869},2026-08-24T18:56:50.484759+00:00
kuzu,run_3_1787597737,40,30.01,13921,11066,2855,463.86,11066,2855,368.73,95.13,51.6841,275.1531,429.0526,0.2051,{'RuntimeError': 2855},2026-08-24T18:57:20.500464+00:00
kuzu,run_3_1787640955,10,30.0,14962,11969,2993,498.65,11969,2993,398.9,99.75,12.3839,64.8178,106.0738,0.2,{'RuntimeError': 2993},2026-08-25T06:56:34.602510+00:00
kuzu,run_3_1787640955,20,30.01,11493,9121,2372,382.97,9121,2372,303.93,79.04,36.398,155.205,241.9552,0.2064,{'RuntimeError': 2372},2026-08-25T06:57:04.617554+00:00
kuzu,run_3_1787640955,40,30.04,8921,7070,1851,297.02,7070,1851,235.39,61.63,76.0288,433.6552,685.0197,0.2075,{'RuntimeError': 1851},2026-08-25T06:57:34.655840+00:00
kuzu,run_3_1787641513,10,30.01,13845,11091,2754,461.37,11091,2754,369.6,91.77,13.8781,68.1857,114.3324,0.1989,{'RuntimeError': 2754},2026-08-25T07:05:52.219791+00:00
kuzu,run_3_1787641513,20,30.01,9062,7179,1883,301.96,7179,1883,239.22,62.75,43.2817,206.3183,334.4518,0.2078,{'RuntimeError': 1883},2026-08-25T07:06:22.233305+00:00
kuzu,run_3_1787641513,40,30.01,8594,6810,1784,286.37,6810,1784,226.92,59.45,77.2672,434.3169,718.1517,0.2076,{'RuntimeError': 1784},2026-08-25T07:06:52.246579+00:00
cognodb,run_3_1787649333,10,30.23,1204,1204,0,39.83,957,247,31.66,8.17,241.172,266.3509,308.2963,0.0,{},2026-08-25T09:32:13.836286+00:00
cognodb,run_3_1787649333,20,30.17,2481,2481,0,82.22,1970,511,65.29,16.93,235.8363,259.9049,290.9114,0.0,{},2026-08-25T09:32:44.014358+00:00
cognodb,run_3_1787649333,40,30.25,4533,4533,0,149.85,3622,911,119.73,30.12,251.7902,298.4271,687.9467,0.0,{},2026-08-25T09:33:14.271660+00:00
neo4j,run_3_1787651245,10,30.06,3595,3595,0,119.61,2826,769,94.02,25.59,79.9066,90.0449,112.9869,0.0,{},2026-08-25T09:49:05.926152+00:00
neo4j,run_3_1787651245,20,30.08,8133,8133,0,270.35,6431,1702,213.77,56.58,77.3956,89.1917,100.8579,0.0,{},2026-08-25T09:49:36.011010+00:00
neo4j,run_3_1787651245,40,30.08,14562,14562,0,484.12,11581,2981,385.02,99.1,79.3402,91.2099,133.8178,0.0,{},2026-08-25T09:50:06.092730+00:00
memgraph,run_3_1787656104,10,30.13,1946,1946,0,64.58,1524,422,50.58,14.01,149.4815,153.8978,266.2779,0.0,{},2026-08-25T11:11:09.805512+00:00
memgraph,run_3_1787656104,20,30.2,3890,3890,0,128.79,3064,826,101.44,27.35,149.5786,161.4592,306.6335,0.0,{},2026-08-25T11:11:40.010408+00:00
memgraph,run_3_1787656104,40,30.24,6630,6630,0,219.28,5271,1359,174.33,44.95,152.8701,290.3597,467.0126,0.0,{},2026-08-25T11:12:10.264857+00:00
memgraph,run_3_1787656202,10,30.15,1768,1768,0,58.64,1393,375,46.21,12.44,161.4444,179.3978,415.4451,0.0,{},2026-08-25T11:12:48.710356+00:00
memgraph,run_3_1787656202,20,30.23,3325,3325,0,110.01,2640,685,87.34,22.66,166.282,213.2073,308.1249,0.0,{},2026-08-25T11:13:19.011110+00:00
memgraph,run_3_1787656202,40,30.44,3998,3998,0,131.32,3200,798,105.11,26.21,248.966,504.6307,973.2818,0.0,{},2026-08-25T11:13:49.618575+00:00
